name,segment_ids,id,descriptn,part_of
Fanno Creek Trail,165529;165542;165550;165570;165586;165596;165651;165703;165778;165779;165797;165914;165978;166054;166066;167365;167367;167411;167412;167691;168076;168313;168314;168433;168724;168750;169117;169217;169246;169249;169258;169395;169406;169415;169432;169450;169555;169623;169636;169789;169823;169824;169871;169876;170020;170071;170189;170203;170268;170274;170298;170320;170480;170498;170602;170722;170781;170784;170844;170845;170846;170847;170848;170866;170871;170959;170981;170982;170983;171014;171022;171138;171153;171206;171242;171273;171281;171303;171400;171453;171534;171542;171545;171553;171573;171578;171696;171736;171750;171752;171777;171795;171802;171807;171833;171834;171878;171889;171913;171999;172040;172041;172042;172043;172136;172188;172212;172218;172262;172318;172355;172356;172357;172358;172370;172371;172372;172374;172381;172413;172420;172421;172422;172423;172444;172511;172557;172567;172568;172588;172594;172661;172677;172727;172754;172765;172771;172791;172797;172858;172873;172889;172906;172915;172963;172967;172978;172988;173012;173031;173169;173204;173220;173221;173232;173395;173513;173532;173550;173562;173563;173738;173816;173825;173837;173889;173890;173939;173940;173954;173955;173956;174000;174011;174119;174314;174346;174365;174431;174482;174602;174650;174696;174809;174913;174987;175073;175074;175184;175210;175288;175356;175567;175885;175931;176102;176129;176308;176480;176482;176506;176660;176735;176782;176857;176951;176979;177103;177141;177297;177312;177499;177501;177652;177857;177945;177950;177974;177987;178351;178467;178471;178472;178474;178475;178513;178527;178534;178583;178594;178610;178632;178633;178764;178909;178971;178994;179054;179135;179138;179189;179190;179196;179265;179364;179365;179374;179375;179376;179377;179402;179428;179429;179432;179487;179488;179542;179543;179667;179668;179892;180013;180018;180153;180154;180227;180487;180499;180548;180549;180573;180593;180598;180694;180744;180778;180960;181016;181017;181020;181030;181031;181032;181033;181050;181051;181052;181053;181054;181055;181056;181057;181058;181059;181060;181061;181062;181444,165529,,""
Trillium Trail,165530;165861;171201;172402;176941;177219;177220;177671;178019;179010;179914,165530,,""
Eastbank Esplanade - Connector,165533;167363;170927;171181;171566;171711;171931;172465;172893;172905;173074;173194;173352;173486;173795;173968;174317;177193;178398;180239;180240;180442,165533,,""
Willamette Greenway - Connector,165536;165641;165884;165892;165948;169570;169674;169832;169848;169849;169851;170331;170484;170825;170993;171091;171136;171235;171298;171664;172166;172938;173133;173314;173457;173728;174793;174970;175470;176001;176376;176552;176924;176955;177138;177232;177589;177721;178084;178115;178137;178539;179246;179722;179899;180243;181226;181254;181294,165536,,""
Tanner Springs Park - Connector,165538;165896;169649,165538,,""
Reservoir Loop Rd,165540;165545;165690;165916;165996;171033;171113;171440;171565;174121;174813;174971;175237;175489;176404;177660;178596;179303,165540,,""
Dogwood Trail,165548;165558;171504;171760;171846;171847;171909;172298;172507;173023;173498;173512;174381;174796;174806;174885;174899;174900;175125;175231;175233;175590;175786;176168;176199;176246;176427;176780;176790;177167;177717;177827;178225;178294;178295,165548,,""
Harvey Scott Circle,165560;165649;177012;179007,165560,,""
Waterfront Park Trail,165575;165717;166042;167095;169011;169119;170648;171285;171286;171326;171430;171557;171558;171829;171975;171977;172409;172410;172865;173105;173164;173207;173724;173752;173780;174134;174574;176823;177631;178120;178476;178477;178850;180740;181803;181808;181810;181848;181849,165575,,""
Terwilliger Trail,167414;168289;168682;168683;168875;169197;169478;169624;169693;169741;169742;169825;169846;170094;170346;170410;170539;170540;170578;170778;171203;171207;171264;171323;171330;171455;171747;171748;171947;172000;172200;172322;172366;172447;172448;172523;172532;172593;172698;172750;172757;172902;173089;173138;173141;173142;173200;173212;173355;173433;173485;173708;173747;174220;175079;175122;175257;177155;177971;178459;178710;178734;178735;178736;179474;179475;179977;179978;180165;180456;180457;181710;181711,172200,,""
